,Neighborhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,11th Most Common Venue,12th Most Common Venue,13th Most Common Venue,14th Most Common Venue,15th Most Common Venue,16th Most Common Venue,17th Most Common Venue,18th Most Common Venue,19th Most Common Venue,20th Most Common Venue
36,Kundalahalli,12.9684441,77.7187843,4,Indian Restaurant,Café,Fast Food Restaurant,Chinese Restaurant,Hotel,Coffee Shop,Pizza Place,Restaurant,Soccer Field,Breakfast Spot,Sandwich Place,Ice Cream Shop,Office,Shopping Mall,Salon / Barbershop,Salad Place,Brewery,Racetrack,Department Store,Donut Shop
37,Laggere,13.0108677,77.5207301,3,Pizza Place,Indian Restaurant,Park,Asian Restaurant,Yoga Studio,Eastern European Restaurant,Flower Shop,Flea Market,Financial or Legal Service,Field,Fast Food Restaurant,Farmers Market,Farm,Falafel Restaurant,Electronics Store,Diner,Donut Shop,Food & Drink Shop,Dhaba,Dessert Shop
38,Lingarajapuram,13.011767800000001,77.62782879999999,4,Indian Restaurant,Café,BBQ Joint,Bakery,Fast Food Restaurant,Chinese Restaurant,Ice Cream Shop,Shopping Mall,Clothing Store,Coffee Shop,Park,Restaurant,Korean Restaurant,Kerala Restaurant,Pizza Place,Gourmet Shop,Brewery,Sandwich Place,Burger Joint,New American Restaurant
39,Mallathahalli,12.961066699999998,77.5099088,4,Indian Restaurant,Café,Bakery,Breakfast Spot,Market,Seafood Restaurant,Lighthouse,Supermarket,Bus Station,Yoga Studio,Flea Market,Financial or Legal Service,Field,Fast Food Restaurant,Farmers Market,Farm,Falafel Restaurant,Food,Electronics Store,Eastern European Restaurant
40,Mathahalli,13.1104415,77.443513,1,Tourist Information Center,Light Rail Station,Eastern European Restaurant,Flower Shop,Flea Market,Financial or Legal Service,Field,Fast Food Restaurant,Farmers Market,Farm,Falafel Restaurant,Electronics Store,Yoga Studio,Food & Drink Shop,Donut Shop,Diner,Dhaba,Dessert Shop,Department Store,Deli / Bodega
41,Mathikere,13.032888400000001,77.557374,4,Indian Restaurant,Fast Food Restaurant,Ice Cream Shop,Chinese Restaurant,Train Station,Pizza Place,Burger Joint,Italian Restaurant,Department Store,Park,Paper / Office Supplies Store,Restaurant,Café,Dessert Shop,Multiplex,Soccer Field,Diner,Kerala Restaurant,German Restaurant,Hotel
42,Mavalli,12.9528478,77.5819643,3,Indian Restaurant,Café,Coffee Shop,Fast Food Restaurant,Ice Cream Shop,Bakery,Sandwich Place,Hotel,Vegetarian / Vegan Restaurant,Park,Salon / Barbershop,Snack Place,Restaurant,Theater,Breakfast Spot,Plaza,Historic Site,Boutique,Pool,Pizza Place
43,Msrit,13.030955300000002,77.5648559396817,4,Indian Restaurant,Ice Cream Shop,Fast Food Restaurant,Chinese Restaurant,Italian Restaurant,Pizza Place,Café,Train Station,Park,Burger Joint,Sandwich Place,Snack Place,Juice Bar,Kerala Restaurant,Department Store,Breakfast Spot,Restaurant,Gym,American Restaurant,Frozen Yogurt Shop
44,Mylanahalli,13.185775699999999,77.6967689,0,Airport Terminal,Beer Bar,Fast Food Restaurant,Food Court,Yoga Studio,Falafel Restaurant,Food,Flower Shop,Flea Market,Financial or Legal Service,Field,Farmers Market,Farm,Eastern European Restaurant,Electronics Store,Donut Shop,Diner,Dhaba,Dessert Shop,Department Store
45,Nagarbhavi,12.9651008,77.5078635,4,Café,Indian Restaurant,South Indian Restaurant,Bakery,Breakfast Spot,Gym,Supermarket,Bus Station,Flower Shop,Flea Market,Financial or Legal Service,Field,Fast Food Restaurant,Farmers Market,Farm,Falafel Restaurant,Yoga Studio,Food,Eastern European Restaurant,Donut Shop
46,Nagasandra S.O (Bangalore),13.047949699999998,77.5001349,3,Pizza Place,Gas Station,Indian Restaurant,Restaurant,Bakery,Flea Market,Financial or Legal Service,Field,Fast Food Restaurant,Farmers Market,Farm,Falafel Restaurant,Electronics Store,Eastern European Restaurant,Donut Shop,Food,Diner,Dhaba,Dessert Shop,Department Store
